review,span,Aspect
"The biggest issue is that there is a bit of play in the spacebar , so you have to get accustomed to pushing through that first bit, then really whacking it to get the space you wanted", play in the spacebar ,spacebar
"My biggest frustration, just edging out the spacebar issue , is the fact that the keyboard simply makes a racket", spacebar issue ,spacebar
"Pros: - perfect ergonomics - nice leather wrist padding Cons: - noisy spacebar - spacebar presses harder then letter keys - F-keys devided into two groups, while classically it should be three - a bit large Could be perfect without issue with spacebar ", spacebar presses harder ,spacebar
"I even have the sticky spacebar problem, and given how poorly constructed the keyboard is, I took the time to pry up the spacebar and determine if the metal crossbar wasn't properly fitted", sticky spacebar ,spacebar
Any pressure at the outer corners of the spacebar causes the cheap plastic to warp and bind the plunger mechanism, spacebar causes the cheap plastic to warp ,spacebar
I find it amazing that MS did not figure out that this spacebar is a complete piece of junk before it mass produced this device, spacebar is a complete piece of junk ,spacebar
I tried to use this for a day and it was too painful--the spacebar is impossible to press , spacebar is impossible to press ,spacebar
The spacebar is awful , spacebar is awful ,spacebar
"Next is the ""Y"" key, which seems to be just as bad as the spacebar , with exactly the same issue", as bad as the spacebar ,spacebar
"It addition to being extremely noisy when pressed, the spacebar requires more pressure than an average keyboard to use", spacebar requires more pressure ,spacebar
"Its size is a bit larger than I'm accustomed to, the keys do not accept double letters and make me hit the same key three to four times to get two f's or two l'l or two anything, and the spacebar has to be hammered to work, but all in all, things were working out", spacebar has to be hammered ,spacebar
"so stiff, this is me typing with it: dont buy thisproduct beccause ther spacebar is complete crap this productis conpleteltterri8bleahd the spacebar iiscausing an excruciatingpaininnmy thumb", spacebar is complete crap ,spacebar
The spacebar is really noisy , spacebar is really noisy ,spacebar
but if so then you have other problems to focus) and i laughed at the reviewers saying about the loud spacebar , loud spacebar ,spacebar
"After only a few days of use, the spacebar stopped working , and the number keys were either broken or typing strange combinations", spacebar stopped working ,spacebar
"As other reviewers have said, the spacebar is defective ", spacebar is defective ,spacebar
The spacebar has more resistance than the other keys and that is not pleasant, spacebar has more resistance ,spacebar
