,review,Aspect,preds
0,"It would make too much sense to make the spacebar a split-button that can be pressed on either side of the curve, but for some reason Microsoft doesn't always deal in common sense",spacebar,spacebar a split-button 
1,"(My thumbs naturally fall on the far ends of the spacebar, not the center",spacebar,"spacebar, not the center "
2,"I have added a weak spring to the right side under the spacebar and that has helped quite a bit, but come on Microsoft, can't you engineer a solution to this known issue? [have, added, has, helped, come, engineer] [weak, right, known]
",spacebar,weak spring 
3,This IS a problem because you'll be filling out a long form or doing extensive work in a browser and all of a sudden you'll go back a page and lose the data when you barely miss the spacebar and hit one of those keys instead,spacebar,miss the spacebar 
4,"I've also had users complain about sticking spacebars (yes, even on relatively new keyboards), and they just don't seem to hold up",spacebar,"spacebars (yes, even on relatively new keyboards), and they just don't seem to hold "
5,"As others have mentioned here, this keyboard is great with one exception - the spacebar! [have, mentioned, is] [great]
",spacebar,spacebar!
6,"It is really ironic since the ergonomic form forces your hands to rest at angles, naturally drawing your thumbs away from the center of the spacebar",spacebar,
7,The spacebar as many have mentioned had to be pounded to get it to operate,spacebar,spacebar as many have mentioned had to be pounded 
8,The spacebar works and the keys are softer but by no means too soft,spacebar,keys are softer 
9,"4) I've found that when the computer goes to sleep, I can't wake it up by clicking a button on the wireless mouse or by hitting the spacebar on the wireless keyboard",spacebar,can't wake it up 
10,"If you search the internet for the words _Microsoft spacebar fix_, you'll see that this is a common problem (but doesn't always occur--apparently some have this defect, and others don't), and that various people have tried various fixes, but none are really satisfactory",spacebar,spacebar fix_
11,"As others have mentioned, this keyboard is excellent in all ways but one - the spacebar",spacebar,keyboard is excellent in all ways 
12,"Unfortunately, when your hands are in the natural position your thumbs are at the far left and right of the spacebar",spacebar,thumbs are at the far left 
13,I'm not sure how the spacebar made it past quality testing,spacebar,spacebar made it past quality 
14,The obvious fix is to improve the design with a split (two piece) spacebar,spacebar,split (two piece) spacebar 
15,"I'm largely happy with this keyboard but will note several caveats: * The media keys do not provide next/previous track keys * The elevating skirt to raise the front edge of the keyboard is awkward to add/remove and is cheaply constructed * The keys are quite responsive but are a bit louder than I think they need to be, particularly the spacebar Ergonomically this is the most comfortable keyboard I've ever used",spacebar,keys do not provide next/previous track keys 
16,"How is this spacebar possible? [is] [possible]
",spacebar,spacebar possible 
17,"The spacebar has two buttons beneath it, but you have to click at just the right point to register a click",spacebar,spacebar has two buttons 
18,"The regular keys are not bad, but after 6 weeks with the spacebar, I'm getting rid of it",spacebar,"spacebar, I'm getting rid of it "
19,"Also, the ""enter"" key is bit small but even that's okay if only that spacebar acted normally",spacebar,spacebar acted normally 
20,My speed/error rate is horrendous on this keyboard because I can't get the spacebar to properly work and when it does it's so loud,spacebar,can't get the spacebar to properly work 
21,"I went ahead and got this in spite of the reviews, hoping I would get a keyboard with a decent spacebar",spacebar,decent spacebar 
22,This occurs when you tend to press the spacebar near the top of the spacebar (closer to the next row of letters) vs on the lower half,spacebar,spacebar (closer to the next row of letters) vs on the lower half 
23,You just wouldn't expect hot spots on keys and the spacebar has hot spots and cold spots,spacebar,spacebar has hot spots 
24,"Overall, whatever good thing I had to say about the keyboard, the godforsaken spacebar tosses it out the window",spacebar,spacebar tosses it 
25,"unfortunately, i'm going to return it to the store primarily because the keys are just too hard to push -- especially the spacebar",spacebar,keys are just too hard 
26,What I'm trying to say is that when you press the spacebar with your left thumb the space bar behaved normally and felt/sounded consistent with any other key,spacebar,space bar behaved normally 
27,"I pulled the spacebar key off a few times and tried to fix it, so far to no avail",spacebar,spacebar key off 
28,It's a great keyboard EXCEPT for the spacebar,spacebar,great keyboard 
29,The spacebar keypad measures five and one-half inches in length but is only most responsive at its center,spacebar,spacebar keypad measures five and one-half inches in length 
30,Due to a pitifully bad design the spacebar will bend incredibly far before suddenly snapping and finally registering the keypress,spacebar,spacebar will bend 
31,Keyboard response is stiff/sluggish - especially the spacebar,spacebar,response is stiff/sluggish 
32,"I went to the local office stores and tried their floor models of the Microsoft 4000, and they all had that thumping sound - only the spacebar",spacebar,thumping sound 
33,My primary desktop keyboard's spacebar ended up choking with a deadline approaching the next day so I had to resort to using this mini keyboard as my primary,spacebar,spacebar ended up choking 
34,"However, the split nature of this keyboard makes the space bar longer than those found on traditional keyboards (the MS spacebar is a full 1",spacebar,spacebar is a full 1 
35,"With a spacebar actuator on both the left and right sides of the keyboard, this problem would disappear and the space bar would actuate like all of the other keys (which respond nicely)",spacebar,space bar would actuate 
36,"At this point, when the spacebar is hit at the upper left or right corner, it will jam",spacebar,spacebar is hit 
37,"If Microsoft had split the spacebar or found a way to make it less clunky and horrible, I probably would have kept the keyboard",spacebar,split the spacebar 
38,#NAME?,spacebar,#NAME?
39,I usually hit the spacebar key with my right hand,spacebar,hit the spacebar key 
