review,Aspect
"It would make too much sense to make the spacebar a split-button that can be pressed on either side of the curve, but for some reason Microsoft doesn't always deal in common sense",spacebar
"(My thumbs naturally fall on the far ends of the spacebar, not the center",spacebar
"I have added a weak spring to the right side under the spacebar and that has helped quite a bit, but come on Microsoft, can't you engineer a solution to this known issue? [have, added, has, helped, come, engineer] [weak, right, known]
",spacebar
This IS a problem because you'll be filling out a long form or doing extensive work in a browser and all of a sudden you'll go back a page and lose the data when you barely miss the spacebar and hit one of those keys instead,spacebar
"I've also had users complain about sticking spacebars (yes, even on relatively new keyboards), and they just don't seem to hold up",spacebar
"As others have mentioned here, this keyboard is great with one exception - the spacebar! [have, mentioned, is] [great]
",spacebar
"It is really ironic since the ergonomic form forces your hands to rest at angles, naturally drawing your thumbs away from the center of the spacebar",spacebar
The spacebar as many have mentioned had to be pounded to get it to operate,spacebar
The spacebar works and the keys are softer but by no means too soft,spacebar
"4) I've found that when the computer goes to sleep, I can't wake it up by clicking a button on the wireless mouse or by hitting the spacebar on the wireless keyboard",spacebar
"If you search the internet for the words _Microsoft spacebar fix_, you'll see that this is a common problem (but doesn't always occur--apparently some have this defect, and others don't), and that various people have tried various fixes, but none are really satisfactory",spacebar
"As others have mentioned, this keyboard is excellent in all ways but one - the spacebar",spacebar
"Unfortunately, when your hands are in the natural position your thumbs are at the far left and right of the spacebar",spacebar
I'm not sure how the spacebar made it past quality testing,spacebar
The obvious fix is to improve the design with a split (two piece) spacebar,spacebar
"I'm largely happy with this keyboard but will note several caveats: * The media keys do not provide next/previous track keys * The elevating skirt to raise the front edge of the keyboard is awkward to add/remove and is cheaply constructed * The keys are quite responsive but are a bit louder than I think they need to be, particularly the spacebar Ergonomically this is the most comfortable keyboard I've ever used",spacebar
"How is this spacebar possible? [is] [possible]
",spacebar
"The spacebar has two buttons beneath it, but you have to click at just the right point to register a click",spacebar
"The regular keys are not bad, but after 6 weeks with the spacebar, I'm getting rid of it",spacebar
"Also, the ""enter"" key is bit small but even that's okay if only that spacebar acted normally",spacebar
My speed/error rate is horrendous on this keyboard because I can't get the spacebar to properly work and when it does it's so loud,spacebar
"I went ahead and got this in spite of the reviews, hoping I would get a keyboard with a decent spacebar",spacebar
This occurs when you tend to press the spacebar near the top of the spacebar (closer to the next row of letters) vs on the lower half,spacebar
You just wouldn't expect hot spots on keys and the spacebar has hot spots and cold spots,spacebar
